1,2025-02-21,t,Jared West,t,Interview 1,\N,,,8,1,8
2,2025-03-22,f,,t,Rejected,2025-04-07,Applied from LinkedIn; said to try again in six months after 10/7/2025,/Users/linda/Documents/General/Resumes/2025/Applications/CoverLetters/2025_03_22_AtlassianCoverLetter.pdf,7,2,5
